experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
,,,train,,,
,{step},{args.num_iterations},val,{val_loss,,
,{step},{args.num_iterations},val,{val_loss,,
,,,train,,,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,0,5100,val,16.0345,215,
,1,5100,train,16.0410,43315,
,2,5100,train,9.6399,44435,
,3,5100,train,8.6590,45562,
,4,5100,train,8.1140,46680,
,5,5100,train,7.8750,47782,
,6,5100,train,7.8578,48902,
,7,5100,train,7.7537,50001,
,8,5100,train,8.0120,51115,
,9,5100,train,7.5253,52219,
,10,5100,train,7.5762,53337,
,11,5100,train,7.3677,1105,
,12,5100,train,7.4934,2230,
,13,5100,train,7.6002,3335,1111.67
,14,5100,train,7.4955,4460,1115.01
,15,5100,train,7.2568,5564,1112.87
,16,5100,train,7.3222,6692,1115.34
,17,5100,train,7.1315,7803,1114.65
,18,5100,train,7.2073,8919,1114.91
,19,5100,train,6.8783,10025,1113.86
,20,5100,train,6.9167,11153,1115.26
,21,5100,train,6.9217,12263,1114.83
,22,5100,train,6.8851,13395,1116.22
,23,5100,train,6.5583,14506,1115.82
,24,5100,train,6.4985,15636,1116.88
,25,5100,train,6.5494,16746,1116.40
,26,5100,train,6.5404,17879,1117.41
,27,5100,train,6.6194,18986,1116.84
,28,5100,train,6.5209,20117,1117.63
,29,5100,train,6.4552,21226,1117.14
,30,5100,train,6.3929,22358,1117.92
,31,5100,train,6.3833,23466,1117.43
,32,5100,train,6.4959,24617,1118.95
,33,5100,train,6.3733,25728,1118.60
,34,5100,train,6.2608,26860,1119.15
,35,5100,train,6.2436,27967,1118.67
,36,5100,train,6.3094,29098,1119.16
,37,5100,train,6.0019,30205,1118.72
,38,5100,train,6.4051,31343,1119.40
,39,5100,train,6.3156,32453,1119.05
,40,5100,train,6.3219,33580,1119.33
,41,5100,train,6.1380,34688,1118.98
,42,5100,train,6.3509,35820,1119.37
,43,5100,train,6.2148,36926,1118.98
,44,5100,train,6.1090,38060,1119.43
,45,5100,train,6.0665,39168,1119.09
,46,5100,train,6.2039,40299,1119.41
,47,5100,train,6.1899,41407,1119.10
,48,5100,train,6.0449,42539,1119.45
,49,5100,train,6.0496,43647,1119.16
,50,5100,train,6.0550,44789,1119.73
,51,5100,train,6.1002,45905,1119.63
,52,5100,train,6.1178,47038,1119.95
,53,5100,train,6.2465,48148,1119.72
,54,5100,train,5.9341,49281,1120.03
,55,5100,train,6.0047,50400,1120.01
,56,5100,train,6.0371,51537,1120.38
,57,5100,train,6.0549,52646,1120.12
,58,5100,train,5.8580,53777,1120.36
,59,5100,train,6.0108,54885,1120.11
,60,5100,train,6.0588,56020,1120.40
,61,5100,train,5.9761,57127,1120.15
,62,5100,train,6.1195,58259,1120.37
,63,5100,train,5.9566,59365,1120.10
,64,5100,train,6.0590,60510,1120.55
,65,5100,train,5.8845,61625,1120.45
,66,5100,train,5.9948,62758,1120.69
,67,5100,train,5.9058,63869,1120.51
,68,5100,train,6.0259,65003,1120.75
,69,5100,train,5.8669,66114,1120.57
,70,5100,train,5.9229,67242,1120.70
,71,5100,train,6.0270,68360,1120.65
,72,5100,train,5.8019,69490,1120.81
,73,5100,train,5.8745,70604,1120.70
,74,5100,train,5.9075,71740,1120.94
,75,5100,train,5.8025,72850,1120.78
,76,5100,train,5.7889,73980,1120.91
,77,5100,train,5.7765,75088,1120.71
,78,5100,train,5.8507,76218,1120.85
,79,5100,train,5.7493,77325,1120.65
