experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
,,,train,,,
,{step},{args.num_iterations},val,{val_loss,,
,{step},{args.num_iterations},val,{val_loss,,
,,,train,,,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,0,5100,val,15.9529,227,
,1,5100,train,15.9495,26401,
,2,5100,train,9.6185,27493,
,3,5100,train,8.6676,28583,
,4,5100,train,8.2689,29680,
,5,5100,train,7.7086,30775,
,6,5100,train,7.4951,31867,
,7,5100,train,7.4250,32961,
,8,5100,train,7.4185,34059,
,9,5100,train,7.1893,35156,
,10,5100,train,7.1325,36251,
,11,5100,train,6.9926,1094,
,12,5100,train,6.9010,2191,
,13,5100,train,6.8764,3287,1095.70
,14,5100,train,6.6414,4387,1096.86
,15,5100,train,6.7614,5486,1097.15
,16,5100,train,6.7360,6586,1097.59
,17,5100,train,6.5984,7683,1097.56
,18,5100,train,6.5464,8784,1097.95
,19,5100,train,6.4024,9885,1098.30
,20,5100,train,6.4439,10982,1098.24
,21,5100,train,6.5443,12077,1097.94
,22,5100,train,6.4984,13177,1098.10
,23,5100,train,6.2047,14280,1098.50
,24,5100,train,6.1793,15385,1098.94
,25,5100,train,6.2626,16486,1099.05
,26,5100,train,6.2268,17589,1099.29
,27,5100,train,6.3473,18689,1099.36
,28,5100,train,6.2183,19790,1099.45
,29,5100,train,6.2001,20893,1099.62
,30,5100,train,6.1134,21994,1099.68
,31,5100,train,6.1208,23097,1099.85
,32,5100,train,6.2292,24198,1099.90
,33,5100,train,6.1258,25299,1099.97
,34,5100,train,6.0064,26404,1100.17
,35,5100,train,6.0003,27510,1100.40
,36,5100,train,6.0572,28616,1100.60
,37,5100,train,5.7675,29720,1100.75
,38,5100,train,6.1286,30826,1100.95
,39,5100,train,6.0663,31928,1100.98
,40,5100,train,6.0490,33028,1100.94
,41,5100,train,5.8895,34126,1100.84
,42,5100,train,6.0804,35226,1100.80
,43,5100,train,5.9605,36326,1100.79
,44,5100,train,5.8346,37422,1100.65
,45,5100,train,5.7954,38523,1100.66
,46,5100,train,5.9341,39615,1100.41
,47,5100,train,5.9055,40712,1100.33
,48,5100,train,5.7612,41810,1100.26
,49,5100,train,5.7399,42910,1100.25
,50,5100,train,5.7547,44009,1100.24
,51,5100,train,5.8047,45107,1100.18
,52,5100,train,5.8196,46205,1100.12
,53,5100,train,5.9404,47306,1100.15
,54,5100,train,5.6288,48406,1100.13
,55,5100,train,5.6903,49506,1100.12
,56,5100,train,5.7099,50602,1100.05
,57,5100,train,5.7293,51698,1099.96
,58,5100,train,5.5208,52792,1099.83
,59,5100,train,5.7047,53889,1099.78
,60,5100,train,5.7126,54986,1099.72
,61,5100,train,5.6328,56080,1099.60
,62,5100,train,5.7770,57177,1099.57
,63,5100,train,5.5995,58275,1099.52
,64,5100,train,5.7406,59371,1099.46
,65,5100,train,5.5587,60469,1099.45
,66,5100,train,5.6703,61568,1099.43
,67,5100,train,5.5565,62666,1099.41
,68,5100,train,5.6726,63768,1099.44
,69,5100,train,5.5163,64867,1099.45
,70,5100,train,5.5637,65972,1099.54
,71,5100,train,5.6534,67075,1099.59
,72,5100,train,5.4375,68175,1099.60
,73,5100,train,5.5442,69271,1099.54
,74,5100,train,5.5476,70374,1099.59
,75,5100,train,5.4288,71474,1099.59
,76,5100,train,5.4243,72589,1099.84
,77,5100,train,5.4106,73687,1099.80
,78,5100,train,5.4855,74787,1099.81
,79,5100,train,5.3733,75885,1099.78
