experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
,,,train,,,
,{step},{args.num_iterations},val,{val_loss,,
,{step},{args.num_iterations},val,{val_loss,,
,,,train,,,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,0,5100,val,15.9580,238,
,1,5100,train,15.9550,43563,
,2,5100,train,9.6341,44705,
,3,5100,train,8.6008,45791,
,4,5100,train,8.1006,46901,
,5,5100,train,7.5238,47990,
,6,5100,train,7.4037,49078,
,7,5100,train,7.3075,50166,
,8,5100,train,7.3818,51273,
,9,5100,train,7.3159,52365,
,10,5100,train,7.4084,53450,
,11,5100,train,7.1326,1092,
,12,5100,train,7.1713,2196,
,13,5100,train,7.6072,3284,1094.54
,14,5100,train,7.3694,4375,1093.87
,15,5100,train,7.4247,5472,1094.40
,16,5100,train,7.4119,6582,1097.01
,17,5100,train,7.3459,7677,1096.74
,18,5100,train,7.6346,8774,1096.78
,19,5100,train,7.6195,9864,1096.04
,20,5100,train,7.6546,10970,1097.01
,21,5100,train,7.2952,12060,1096.32
,22,5100,train,7.4753,13153,1096.12
,23,5100,train,7.4044,14250,1096.14
,24,5100,train,7.3764,15359,1097.08
,25,5100,train,7.0375,16454,1096.93
,26,5100,train,7.0868,17553,1097.05
,27,5100,train,7.2353,18650,1097.04
,28,5100,train,7.1191,19758,1097.66
,29,5100,train,6.9308,20853,1097.51
,30,5100,train,6.9489,21945,1097.23
,31,5100,train,7.0496,23038,1097.06
,32,5100,train,7.1189,24151,1097.79
,33,5100,train,6.8663,25242,1097.48
,34,5100,train,6.7990,26337,1097.37
,35,5100,train,6.8504,27435,1097.40
,36,5100,train,6.9261,28568,1098.77
,37,5100,train,6.3922,29660,1098.52
,38,5100,train,6.8817,30756,1098.44
,39,5100,train,6.7803,31856,1098.49
,40,5100,train,6.7618,32972,1099.08
,41,5100,train,6.5152,34061,1098.73
,42,5100,train,6.7530,35155,1098.58
,43,5100,train,6.6367,36247,1098.39
,44,5100,train,6.4993,37353,1098.63
,45,5100,train,6.3864,38446,1098.46
,46,5100,train,6.5141,39538,1098.28
,47,5100,train,6.5231,40634,1098.21
,48,5100,train,6.3767,41743,1098.50
,49,5100,train,6.3387,42838,1098.42
,50,5100,train,6.3399,43935,1098.38
,51,5100,train,6.3635,45033,1098.38
,52,5100,train,6.3921,46145,1098.69
,53,5100,train,6.5149,47239,1098.58
,54,5100,train,6.1760,48335,1098.52
,55,5100,train,6.2897,49433,1098.51
,56,5100,train,6.2811,50548,1098.88
,57,5100,train,6.3022,51639,1098.71
,58,5100,train,6.1139,52736,1098.67
,59,5100,train,6.2454,53832,1098.61
,60,5100,train,6.3060,54939,1098.79
,61,5100,train,6.2218,56036,1098.75
,62,5100,train,6.3619,57134,1098.73
,63,5100,train,6.2352,58234,1098.76
,64,5100,train,6.3022,59344,1098.97
,65,5100,train,6.1337,60440,1098.90
,66,5100,train,6.2509,61538,1098.88
,67,5100,train,6.1947,62636,1098.88
,68,5100,train,6.3070,63745,1099.06
,69,5100,train,6.1331,64839,1098.97
,70,5100,train,6.1981,65936,1098.93
,71,5100,train,6.3201,67033,1098.90
,72,5100,train,6.0818,68178,1099.65
,73,5100,train,6.1449,69272,1099.56
,74,5100,train,6.1833,70371,1099.55
,75,5100,train,6.0983,71465,1099.46
,76,5100,train,6.0707,72574,1099.61
,77,5100,train,6.0489,73673,1099.60
,78,5100,train,6.1403,74775,1099.64
,79,5100,train,6.0387,75874,1099.62
