experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
,,,train,,,
,{step},{args.num_iterations},val,{val_loss,,
,{step},{args.num_iterations},val,{val_loss,,
,,,train,,,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,0,200,val,15.9922,213,
,1,200,train,15.9944,46792,
,2,200,train,11.5180,47889,
,3,200,train,9.5388,48986,
,4,200,train,9.2496,50080,
,5,200,train,8.8959,51176,
,6,200,train,8.6647,52272,
,7,200,train,8.4043,53367,
,8,200,train,8.1785,54463,
,9,200,train,7.9448,55561,
,10,200,train,7.7744,56652,
,11,200,train,7.5611,1097,
,12,200,train,7.5204,2194,
,13,200,train,7.4699,3293,1097.61
,14,200,train,7.2301,4394,1098.42
,15,200,train,7.3200,5494,1098.83
,16,200,train,7.3319,6594,1098.96
,17,200,train,7.2085,7691,1098.74
,18,200,train,7.1259,8791,1098.93
,19,200,train,7.0015,9893,1099.20
,20,200,train,7.0439,10996,1099.60
,21,200,train,7.1409,12097,1099.74
,22,200,train,7.0348,13197,1099.74
,23,200,train,6.8067,14295,1099.65
,24,200,train,6.7561,15396,1099.69
,25,200,train,6.8323,16496,1099.70
,26,200,train,6.8115,17593,1099.57
,27,200,train,6.8984,18692,1099.50
,28,200,train,6.8192,19789,1099.38
,29,200,train,6.7144,20889,1099.43
,30,200,train,6.6785,21983,1099.17
,31,200,train,6.6760,23080,1099.05
,32,200,train,6.7907,24177,1098.96
,33,200,train,6.6650,25280,1099.11
,34,200,train,6.6070,26379,1099.12
,35,200,train,6.5418,27478,1099.14
,36,200,train,6.6220,28576,1099.07
,37,200,train,6.2805,29674,1099.05
,38,200,train,6.7316,30776,1099.14
,39,200,train,6.6180,31876,1099.16
,40,200,train,6.6171,32978,1099.25
,41,200,train,6.4311,34078,1099.30
,42,200,train,6.6617,35179,1099.33
,43,200,train,6.5247,36283,1099.47
,44,200,train,6.4088,37380,1099.41
,45,200,train,6.3863,38480,1099.43
,46,200,train,6.5109,39579,1099.41
,47,200,train,6.5350,40679,1099.43
,48,200,train,6.3516,41779,1099.44
,49,200,train,6.3892,42878,1099.44
,50,200,train,6.3723,43976,1099.41
,50,200,val,6.4141,43977,1099.41
,51,200,train,6.4016,45081,1099.54
,52,200,train,6.4286,46183,1099.60
,53,200,train,6.5681,47284,1099.63
,54,200,train,6.2058,48385,1099.65
,55,200,train,6.3306,49486,1099.69
,56,200,train,6.3314,50585,1099.68
,57,200,train,6.3762,51686,1099.70
,58,200,train,6.1999,52784,1099.68
,59,200,train,6.3456,53885,1099.70
,60,200,train,6.3874,54985,1099.70
,61,200,train,6.3436,56086,1099.73
,62,200,train,6.4671,57188,1099.76
,63,200,train,6.3327,58291,1099.83
,64,200,train,6.3986,59387,1099.77
,65,200,train,6.2439,60487,1099.76
,66,200,train,6.3564,61587,1099.76
,67,200,train,6.3147,62689,1099.81
,68,200,train,6.4134,63792,1099.87
,69,200,train,6.2253,64893,1099.89
,70,200,train,6.3149,65991,1099.85
,71,200,train,6.4535,67087,1099.79
,72,200,train,6.1651,68187,1099.80
,73,200,train,6.2764,69286,1099.78
,74,200,train,6.2648,70390,1099.84
,75,200,train,6.1916,71501,1100.02
,76,200,train,6.1644,72606,1100.09
,77,200,train,6.1645,73708,1100.11
,78,200,train,6.2308,74816,1100.23
,79,200,train,6.1324,75922,1100.32
,80,200,train,6.1404,77028,1100.40
,81,200,train,6.1338,78129,1100.41
,82,200,train,6.7033,79231,1100.43
,83,200,train,6.1980,80341,1100.57
