experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
,,,train,,,
,{step},{args.num_iterations},val,{val_loss,,
,{step},{args.num_iterations},val,{val_loss,,
,,,train,,,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,{step+1},{args.num_iterations},train,{train_loss.item(),,
,0,5100,val,15.9933,213,
,1,5100,train,15.9950,42938,
,2,5100,train,9.6403,44032,
,3,5100,train,8.6598,45127,
,4,5100,train,8.1290,46229,
,5,5100,train,7.7691,47329,
,6,5100,train,7.4167,48428,
,7,5100,train,7.3043,49535,
,8,5100,train,7.3143,50637,
,9,5100,train,7.1130,51738,
,10,5100,train,7.1243,52839,
,11,5100,train,6.8964,1107,
,12,5100,train,6.9507,2212,
,13,5100,train,6.8784,3319,1106.18
,14,5100,train,6.6194,4419,1104.74
,15,5100,train,6.7403,5527,1105.41
,16,5100,train,6.7363,6639,1106.56
,17,5100,train,6.5808,7745,1106.38
,18,5100,train,6.5301,8862,1107.75
,19,5100,train,6.4010,9970,1107.75
,20,5100,train,6.4378,11086,1108.56
,21,5100,train,6.5368,12205,1109.52
,22,5100,train,6.4889,13314,1109.47
,23,5100,train,6.1961,14418,1109.11
,24,5100,train,6.1622,15527,1109.06
,25,5100,train,6.2515,16638,1109.18
,26,5100,train,6.2195,17743,1108.92
,27,5100,train,6.3342,18849,1108.77
,28,5100,train,6.2044,19959,1108.85
,29,5100,train,6.1918,21067,1108.78
,30,5100,train,6.1081,22176,1108.81
,31,5100,train,6.1063,23280,1108.59
,32,5100,train,6.2127,24393,1108.80
,33,5100,train,6.1264,25501,1108.74
,34,5100,train,5.9943,26607,1108.64
,35,5100,train,5.9830,27720,1108.78
,36,5100,train,6.0497,28823,1108.56
,37,5100,train,5.7573,29935,1108.70
,38,5100,train,6.1108,31041,1108.60
,39,5100,train,6.0598,32155,1108.80
,40,5100,train,6.0355,33263,1108.78
,41,5100,train,5.8762,34376,1108.90
,42,5100,train,6.0710,35484,1108.87
,43,5100,train,5.9511,36596,1108.96
,44,5100,train,5.8305,37701,1108.84
,45,5100,train,5.7830,38809,1108.82
,46,5100,train,5.9252,39919,1108.86
,47,5100,train,5.8900,41033,1108.99
,48,5100,train,5.7522,42143,1109.02
,49,5100,train,5.7303,43253,1109.05
,50,5100,train,5.7403,44360,1109.00
,51,5100,train,5.7957,45460,1108.78
,52,5100,train,5.8062,46562,1108.63
,53,5100,train,5.9375,47666,1108.52
,54,5100,train,5.6235,48771,1108.43
,55,5100,train,5.6766,49884,1108.54
,56,5100,train,5.6939,50993,1108.54
,57,5100,train,5.7110,52101,1108.53
,58,5100,train,5.5080,53217,1108.68
,59,5100,train,5.6936,54330,1108.77
,60,5100,train,5.6848,55445,1108.90
,61,5100,train,5.6190,56551,1108.85
,62,5100,train,5.7735,57663,1108.91
,63,5100,train,5.5885,58767,1108.82
,64,5100,train,5.7051,59876,1108.82
,65,5100,train,5.5347,60980,1108.72
,66,5100,train,5.6470,62080,1108.57
,67,5100,train,5.5346,63181,1108.43
,68,5100,train,5.6686,64281,1108.30
,69,5100,train,5.5067,65385,1108.23
,70,5100,train,5.5519,66494,1108.23
,71,5100,train,5.6433,67598,1108.16
,72,5100,train,5.4240,68700,1108.06
,73,5100,train,5.5286,69801,1107.95
,74,5100,train,5.5428,70902,1107.84
,75,5100,train,5.4242,72007,1107.81
,76,5100,train,5.4194,73116,1107.81
,77,5100,train,5.4012,74219,1107.75
,78,5100,train,5.4816,75322,1107.67
,79,5100,train,5.3720,76423,1107.58
