experiment,step,total_steps,split,loss,train_time_ms,step_avg_ms
lazy_sched,0,5100,val,16.0292,223,
lazy_sched,1,5100,train,16.0259,45795,
lazy_sched,2,5100,train,9.6598,46909,
lazy_sched,3,5100,train,8.6163,48026,
lazy_sched,4,5100,train,8.2950,49147,
lazy_sched,5,5100,train,7.8753,50268,
lazy_sched,6,5100,train,7.6033,51387,
lazy_sched,7,5100,train,7.4308,52507,
lazy_sched,8,5100,train,7.3038,53628,
lazy_sched,9,5100,train,7.0950,54749,
lazy_sched,10,5100,train,7.4944,55878,
lazy_sched,11,5100,train,6.8812,1136,
lazy_sched,12,5100,train,6.9495,2268,
lazy_sched,13,5100,train,6.9598,3402,1134.02
lazy_sched,14,5100,train,6.6780,4538,1134.60
lazy_sched,15,5100,train,6.7606,5679,1135.79
lazy_sched,16,5100,train,6.7398,6811,1135.22
lazy_sched,17,5100,train,6.5890,7939,1134.13
lazy_sched,18,5100,train,6.5354,9070,1133.75
lazy_sched,19,5100,train,6.3998,10202,1133.51
lazy_sched,20,5100,train,6.4526,11327,1132.74
lazy_sched,21,5100,train,6.5701,12448,1131.66
lazy_sched,22,5100,train,6.5109,13569,1130.73
lazy_sched,23,5100,train,6.2166,14689,1129.93
lazy_sched,24,5100,train,6.1794,15808,1129.15
lazy_sched,25,5100,train,6.2621,16931,1128.75
lazy_sched,26,5100,train,6.2260,18063,1128.94
lazy_sched,27,5100,train,6.3472,19188,1128.73
lazy_sched,28,5100,train,6.2183,20309,1128.30
lazy_sched,29,5100,train,6.1991,21430,1127.90
lazy_sched,30,5100,train,6.1298,22554,1127.69
lazy_sched,31,5100,train,6.1250,23685,1127.87
lazy_sched,32,5100,train,6.2293,24808,1127.63
lazy_sched,33,5100,train,6.1294,25930,1127.40
lazy_sched,34,5100,train,5.9960,27050,1127.09
lazy_sched,35,5100,train,5.9951,28174,1126.97
lazy_sched,36,5100,train,6.0556,29305,1127.12
lazy_sched,37,5100,train,5.7665,30427,1126.92
lazy_sched,38,5100,train,6.1191,31548,1126.72
lazy_sched,39,5100,train,6.0592,32668,1126.49
lazy_sched,40,5100,train,6.0480,33792,1126.41
lazy_sched,41,5100,train,5.8834,34923,1126.54
lazy_sched,42,5100,train,6.0664,36046,1126.45
lazy_sched,43,5100,train,5.9612,37169,1126.33
lazy_sched,44,5100,train,5.8380,38287,1126.10
lazy_sched,45,5100,train,5.7840,39422,1126.33
lazy_sched,46,5100,train,5.9259,40547,1126.30
lazy_sched,47,5100,train,5.8918,41668,1126.16
lazy_sched,48,5100,train,5.7505,42789,1126.03
lazy_sched,49,5100,train,5.7437,43927,1126.33
lazy_sched,50,5100,train,5.7496,45062,1126.56
lazy_sched,51,5100,train,5.8020,46204,1126.92
lazy_sched,52,5100,train,5.8165,47341,1127.17
lazy_sched,53,5100,train,5.9328,48480,1127.45
lazy_sched,54,5100,train,5.6295,49622,1127.76
lazy_sched,55,5100,train,5.6909,50762,1128.03
lazy_sched,56,5100,train,5.7052,51900,1128.27
lazy_sched,57,5100,train,5.7168,53027,1128.22
lazy_sched,58,5100,train,5.5143,54149,1128.11
lazy_sched,59,5100,train,5.7028,55271,1127.97
lazy_sched,60,5100,train,5.6939,56394,1127.88
lazy_sched,61,5100,train,5.6380,57526,1127.96
lazy_sched,62,5100,train,5.7857,58649,1127.86
lazy_sched,63,5100,train,5.6032,59769,1127.72
lazy_sched,64,5100,train,5.7219,60891,1127.61
lazy_sched,65,5100,train,5.5501,62019,1127.61
lazy_sched,66,5100,train,5.6586,63146,1127.60
lazy_sched,67,5100,train,5.5400,64268,1127.51
lazy_sched,68,5100,train,5.6791,65388,1127.39
lazy_sched,69,5100,train,5.5160,66509,1127.28
lazy_sched,70,5100,train,5.5672,67636,1127.27
lazy_sched,71,5100,train,5.6477,68765,1127.30
lazy_sched,72,5100,train,5.4317,69887,1127.21
lazy_sched,73,5100,train,5.5341,71007,1127.10
lazy_sched,74,5100,train,5.5378,72132,1127.06
lazy_sched,75,5100,train,5.4328,73251,1126.94
lazy_sched,76,5100,train,5.4258,74383,1127.01
lazy_sched,77,5100,train,5.4056,75508,1126.98
lazy_sched,78,5100,train,5.4914,76628,1126.88
lazy_sched,79,5100,train,5.3833,77748,1126.78
lazy_sched,80,5100,train,5.3944,78869,1126.70
lazy_sched,81,5100,train,5.4097,79988,1126.60
lazy_sched,82,5100,train,6.2059,81108,1126.49
lazy_sched,83,5100,train,5.3831,82231,1126.45
lazy_sched,84,5100,train,5.3420,83358,1126.46
lazy_sched,85,5100,train,5.3353,84486,1126.48
lazy_sched,86,5100,train,5.3709,85618,1126.55
lazy_sched,87,5100,train,5.3060,86755,1126.69
lazy_sched,88,5100,train,5.2590,87896,1126.88
lazy_sched,89,5100,train,5.0047,89030,1126.96
lazy_sched,90,5100,train,5.2046,90165,1127.07
lazy_sched,91,5100,train,5.2148,91302,1127.19
lazy_sched,92,5100,train,5.3743,92439,1127.31
lazy_sched,93,5100,train,5.1777,93578,1127.44
lazy_sched,94,5100,train,5.1690,94706,1127.45
lazy_sched,95,5100,train,5.3253,95828,1127.38
lazy_sched,96,5100,train,5.1478,96951,1127.34
lazy_sched,97,5100,train,5.1968,98071,1127.25
lazy_sched,98,5100,train,5.1486,99190,1127.16
lazy_sched,99,5100,train,5.2180,100307,1127.05
lazy_sched,100,5100,train,5.0181,101428,1126.98
lazy_sched,101,5100,train,5.2428,102550,1126.92
lazy_sched,102,5100,train,5.2135,103672,1126.87
lazy_sched,103,5100,train,5.2461,104802,1126.91
lazy_sched,104,5100,train,5.0353,105927,1126.88
lazy_sched,105,5100,train,5.1214,107047,1126.82
lazy_sched,106,5100,train,5.1728,108168,1126.75
lazy_sched,107,5100,train,5.2090,109288,1126.69
lazy_sched,108,5100,train,5.1369,110409,1126.63
lazy_sched,109,5100,train,5.0591,111533,1126.59
lazy_sched,110,5100,train,5.2859,112659,1126.59
